                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5534,                 9.2283,                   1.69,                0.20269,                0.23333,                0.16865,                0.11181,                 1.3279,                 47.113,                 1.7033,              8.568e-05,              8.568e-05,              8.568e-05
                      2,                 1.2282,                  3.287,                 1.3747,                0.32771,                    0.6,                0.47494,                0.38019,                0.92685,                 21.087,                  1.321,             0.00017673,             0.00017673,             0.00017673
                      3,                 1.0712,                 2.3945,                 1.2487,                0.54301,                0.83632,                0.75397,                0.60852,                0.74818,                 7.4792,                 1.0822,             0.00026595,             0.00026595,             0.00026595
                      4,                 1.0581,                 1.8482,                 1.2013,                0.56221,                   0.85,                 0.8872,                0.69432,                0.87514,                 2.0768,                 1.2171,             0.00035333,             0.00035333,             0.00035333
                      5,                 0.9847,                 1.4947,                 1.1435,                0.72435,                0.86608,                0.92614,                0.78589,                0.63033,                 1.4191,                 1.0466,             0.00043886,             0.00043886,             0.00043886
                      6,                 1.0097,                 1.4072,                 1.1927,                0.87833,                0.60685,                0.72564,                0.54924,                0.91154,                 4.2647,                 1.1856,             0.00052257,             0.00052257,             0.00052257
                      7,                 1.0043,                 1.1717,                 1.1446,                0.74316,                0.84254,                0.80422,                0.67246,                0.76576,                 1.6214,                 1.0838,             0.00060443,             0.00060443,             0.00060443
                      8,                 1.0235,                 1.0786,                 1.1563,                0.89488,                0.75031,                0.92769,                 0.7354,                 0.8392,                 1.5731,                 1.0886,             0.00066452,             0.00066452,             0.00066452
                      9,                0.95013,                  1.039,                 1.1409,                0.91152,                0.68912,                0.95167,                0.75936,                0.87026,                 1.3148,                 1.0911,             0.00065745,             0.00065745,             0.00065745
                     10,                0.94149,                0.94316,                 1.1381,                0.86699,                0.81667,                0.92438,                0.72104,                 0.7994,                 1.0289,                 1.1208,             0.00065038,             0.00065038,             0.00065038
                     11,                0.94039,                0.94127,                 1.1201,                0.80351,                0.81081,                  0.965,                 0.7544,                0.80435,                 1.2788,                 1.0983,             0.00064331,             0.00064331,             0.00064331
                     12,                0.92994,                0.86105,                 1.1369,                0.78615,                0.89978,                0.92858,                0.74285,                0.82578,                 1.1416,                 1.1396,             0.00063625,             0.00063625,             0.00063625
                     13,                0.92816,                  0.823,                 1.1251,                0.74561,                0.97907,                  0.995,                0.73661,                0.85147,                 1.0735,                 1.1719,             0.00062918,             0.00062918,             0.00062918
                     14,                0.94902,                0.88388,                 1.1522,                0.74171,                0.93862,                0.94008,                0.73417,                0.79703,                 1.1299,                 1.1959,             0.00062211,             0.00062211,             0.00062211
                     15,                0.94423,                0.85878,                 1.1519,                0.74116,                0.98039,                0.97833,                0.78483,                0.79065,                0.93745,                 1.1131,             0.00061504,             0.00061504,             0.00061504
                     16,                0.88618,                0.76136,                 1.1119,                0.89996,                0.95134,                  0.995,                0.85569,                0.70964,                0.80135,                 1.0909,             0.00060797,             0.00060797,             0.00060797
                     17,                0.86957,                0.70397,                 1.0976,                0.80994,                0.97847,                0.97833,                0.83074,                0.65415,                0.65651,                  1.026,              0.0006009,              0.0006009,              0.0006009
                     18,                0.86769,                 0.6874,                 1.0837,                0.94244,                0.96038,                  0.995,                0.83108,                0.70284,                0.50994,                 1.0965,             0.00059383,             0.00059383,             0.00059383
                     19,                0.89059,                0.72475,                 1.1111,                0.91883,                0.96125,                  0.995,                0.86582,                0.67211,                0.53236,                 1.0483,             0.00058677,             0.00058677,             0.00058677
                     20,                0.87314,                0.68092,                 1.1309,                 0.9235,                0.94766,                  0.995,                0.81943,                0.80303,                0.57948,                 1.2415,              0.0005797,              0.0005797,              0.0005797
                     21,                 0.8177,                0.62222,                 1.0764,                0.92193,                0.97425,                  0.995,                0.84868,                0.70866,                0.50236,                 1.0483,             0.00057263,             0.00057263,             0.00057263
                     22,                0.85944,                0.63466,                 1.0981,                0.88269,                0.99715,                  0.995,                0.74867,                0.81005,                0.53203,                 1.1333,             0.00056556,             0.00056556,             0.00056556
                     23,                0.83072,                0.63296,                 1.1038,                0.80061,                      1,                  0.995,                0.81203,                0.76242,                0.57778,                 1.1317,             0.00055849,             0.00055849,             0.00055849
                     24,                0.83217,                0.60664,                 1.0823,                0.88965,                      1,                  0.995,                0.84801,                0.67204,                0.53873,                 1.0505,             0.00055142,             0.00055142,             0.00055142
                     25,                0.85548,                 0.6259,                  1.094,                0.84118,                0.99866,                  0.995,                0.85848,                0.61205,                0.47877,                 1.0604,             0.00054435,             0.00054435,             0.00054435
                     26,                0.83637,                0.60384,                 1.0884,                0.93767,                0.98939,                  0.995,                0.86042,                0.66063,                0.47426,                 1.0616,             0.00053728,             0.00053728,             0.00053728
                     27,                0.83792,                0.59868,                 1.1007,                0.81721,                      1,                  0.995,                0.83834,                0.66546,                0.48643,                  1.058,             0.00053022,             0.00053022,             0.00053022
                     28,                0.82802,                0.60834,                 1.0886,                0.88588,                    0.9,                  0.995,                0.78533,                0.80405,                0.57806,                 1.1535,             0.00052315,             0.00052315,             0.00052315
                     29,                0.82617,                0.61339,                 1.0885,                0.95473,                0.99264,                  0.995,                0.81903,                0.78119,                 0.4763,                 1.1134,             0.00051608,             0.00051608,             0.00051608
                     30,                0.83357,                0.58841,                 1.0728,                0.94652,                0.98804,                  0.995,                 0.8537,                0.63915,                0.42253,                 1.0165,             0.00050901,             0.00050901,             0.00050901
                     31,                0.77961,                0.54445,                 1.0597,                0.94148,                      1,                  0.995,                0.86025,                0.65323,                0.44836,                 1.0383,             0.00050194,             0.00050194,             0.00050194
                     32,                0.76062,                0.52282,                 1.0173,                0.91208,                      1,                  0.995,                 0.8437,                0.69034,                 0.4289,                 1.0547,             0.00049487,             0.00049487,             0.00049487
                     33,                0.74852,                0.52952,                 1.0413,                0.91391,                      1,                  0.995,                0.84105,                0.66496,                0.40349,                 1.0541,              0.0004878,              0.0004878,              0.0004878
                     34,                0.75577,                0.53173,                 1.0255,                0.94872,                      1,                  0.995,                0.85931,                 0.6725,                0.41588,                 1.0292,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.7553,                0.51394,                 1.0373,                0.96018,                0.99825,                  0.995,                0.85782,                0.70651,                0.44172,                 1.0475,             0.00047367,             0.00047367,             0.00047367
                     36,                0.73288,                0.48855,                 1.0413,                0.93416,                   0.95,                0.97833,                0.80406,                 0.7293,                0.44483,                 1.0874,              0.0004666,              0.0004666,              0.0004666
